----------------------
Iter 10: T=913.5, E =3251.16, E'=3251.16, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 880: T=0.1, E =418.34, E'=1251.16, dE =832.83, p =0.000, Status: REJECT
Iter 890: T=0.1, E =418.40, E'=1751.16, dE =1332.76, p =0.000, Status: REJECT
Iter 900: T=0.1, E =418.09, E'=420.38, dE =2.29, p =0.000, Status: REJECT
Iter 910: T=0.1, E =418.06, E'=1251.16, dE =833.10, p =0.000, Status: REJECT
Iter 920: T=0.1, E =418.06, E'=1251.16, dE =833.10, p =0.000, Status: REJECT
Iter 930: T=0.1, E =417.94, E'=417.94, dE =-0.12, p =N/A, Status: ACCEPT (Better)
Iter 940: T=0.1, E =417.92, E'=1251.16, dE =833.25, p =0.000, Status: REJECT
Iter 950: T=0.1, E =417.92, E'=1251.16, dE =833.25, p =0.000, Status: REJECT
Iter 960: T=0.1, E =417.76, E'=1251.16, dE =833.41, p =0.000, Status: REJECT
Iter 970: T=0.1, E =417.65, E'=417.65, dE =-0.04, p =N/A, Status: ACCEPT (Better)
Iter 980: T=0.1, E =417.59, E'=1251.16, dE =833.58, p =0.000, Status: REJECT
Iter 990: T=0.0, E =417.59, E'=419.87, dE =2.29, p =0.000, Status: REJECT
Iter 1000: T=0.0, E =417.55, E'=419.77, dE =2.22, p =0.000, Status: REJECT
Iter 1010: T=0.0, E =417.55, E'=417.55, dE =-0.06, p =N/A, Status: ACCEPT (Better)
Iter 1020: T=0.0, E =417.55, E'=417.61, dE =0.06, p =0.162, Status: REJECT
Iter 1030: T=0.0, E =417.55, E'=1251.16, dE =833.62, p =0.000, Status: REJECT
Iter 1040: T=0.0, E =417.55, E'=419.83, dE =2.29, p =0.000, Status: REJECT
Iter 1050: T=0.0, E =267.52, E'=267.52, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1060: T=0.0, E =267.45, E'=269.68, dE =2.22, p =0.000, Status: REJECT
Iter 1070: T=0.0, E =267.45, E'=269.68, dE =2.22, p =0.000, Status: REJECT
Iter 1080: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1090: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1100: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1110: T=0.0, E =267.45, E'=269.74, dE =2.29, p =0.000, Status: REJECT
Iter 1120: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.007, Status: REJECT
Iter 1130: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1140: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1150: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1160: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1170: T=0.0, E =267.45, E'=269.68, dE =2.22, p =0.000, Status: REJECT
Iter 1180: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1190: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1200: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1210: T=0.0, E =267.45, E'=269.74, dE =2.29, p =0.000, Status: REJECT
Iter 1220: T=0.0, E =267.45, E'=269.68, dE =2.22, p =0.000, Status: REJECT
Iter 1230: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1240: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.000, Status: REJECT
Iter 1250: T=0.0, E =267.45, E'=269.74, dE =2.29, p =0.000, Status: REJECT
Iter 1260: T=0.0, E =267.45, E'=269.74, dE =2.29, p =0.000, Status: REJECT
Iter 1270: T=0.0, E =267.45, E'=767.45, dE =500.00, p =0.000, Status: REJECT
Iter 1280: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1290: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1300: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1310: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1320: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.000, Status: REJECT
Iter 1330: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.000, Status: REJECT
Iter 1340: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1350: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1360: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1370: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1380: T=0.0, E =267.45, E'=269.68, dE =2.22, p =0.000, Status: REJECT
Iter 1390: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1400: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1410: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.000, Status: REJECT
Iter 1420: T=0.0, E =267.45, E'=269.68, dE =2.22, p =0.000, Status: REJECT
Iter 1430: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1440: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.000, Status: REJECT
Iter 1450: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1460: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1470: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1480: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1490: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1500: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1510: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1520: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1530: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1540: T=0.0, E =267.45, E'=767.45, dE =500.00, p =0.000, Status: REJECT
Iter 1550: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1560: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1570: T=0.0, E =267.45, E'=1251.16, dE =983.71, p =0.000, Status: REJECT
Iter 1580: T=0.0, E =267.45, E'=269.74, dE =2.29, p =0.000, Status: REJECT
Iter 1590: T=0.0, E =267.45, E'=267.45, dE =0.00, p =1.000, Status: ACCEPT (Worse)
Iter 1600: T=0.0, E =267.45, E'=267.52, dE =0.06, p =0.000, Status: REJECT
Raw path length: 16
Optimized path length: 8
Algorithm: SA
Time (s): 1.4049
Nodes/Iter: 1604
Path Length: 8
Initial cost: 18251.16393442623
Final_cost: 267.45407869995
